iso3,year,age,sex,Nx
AFG,2000,0,Female,2042084
AFG,2000,0,Male,2124163
AFG,2000,5,Female,1603445
AFG,2000,5,Male,1688904
AFG,2000,10,Female,1296308
AFG,2000,10,Male,1405116
AFG,2000,15,Female,1042985
AFG,2000,15,Male,1149709
AFG,2000,20,Female,831930
AFG,2000,20,Male,921620
AFG,2000,25,Female,680892
AFG,2000,25,Male,734778
AFG,2000,30,Female,562956
AFG,2000,30,Male,599498
AFG,2000,35,Female,461895
AFG,2000,35,Male,492828
AFG,2000,40,Female,381650
AFG,2000,40,Male,405623
AFG,2000,45,Female,314363
AFG,2000,45,Male,329054
AFG,2000,50,Female,279119
AFG,2000,50,Male,259969
AFG,2000,55,Female,198274
AFG,2000,55,Male,203128
AFG,2000,60,Female,147831
AFG,2000,60,Male,145570
AFG,2000,65,Female,105589
AFG,2000,65,Male,100139
AFG,2000,70,Female,72078
AFG,2000,70,Male,69663
AFG,2000,75,Female,43206
AFG,2000,75,Male,38817
AFG,2000,80,Female,18798
AFG,2000,80,Male,15536
AFG,2000,85,Female,7046
AFG,2000,85,Male,5393
AFG,2001,0,Female,2117822
AFG,2001,0,Male,2206822
AFG,2001,5,Female,1668416
AFG,2001,5,Male,1750211
AFG,2001,10,Female,1351268
AFG,2001,10,Male,1454577
AFG,2001,15,Female,1097408
AFG,2001,15,Male,1204793
AFG,2001,20,Female,872941
AFG,2001,20,Male,971462
AFG,2001,25,Female,706185
AFG,2001,25,Male,771253
AFG,2001,30,Female,581745
AFG,2001,30,Male,623579
AFG,2001,35,Female,476888
AFG,2001,35,Male,510046
AFG,2001,40,Female,393279
AFG,2001,40,Male,418588
AFG,2001,45,Female,321409
AFG,2001,45,Male,340339
AFG,2001,50,Female,285195
AFG,2001,50,Male,268806
AFG,2001,55,Female,209421
AFG,2001,55,Male,209536
AFG,2001,60,Female,152545
AFG,2001,60,Male,151566
AFG,2001,65,Female,108749
AFG,2001,65,Male,102838
AFG,2001,70,Female,73433
AFG,2001,70,Male,70169
AFG,2001,75,Female,44382
AFG,2001,75,Male,40262
AFG,2001,80,Female,20150
AFG,2001,80,Male,16783
AFG,2001,85,Female,8002
AFG,2001,85,Male,6124
AFG,2002,0,Female,2192082
AFG,2002,0,Male,2294431
AFG,2002,5,Female,1748291
AFG,2002,5,Male,1832370
AFG,2002,10,Female,1413574
AFG,2002,10,Male,1513476
AFG,2002,15,Female,1159383
AFG,2002,15,Male,1268855
AFG,2002,20,Female,925744
AFG,2002,20,Male,1032120
AFG,2002,25,Female,739136
AFG,2002,25,Male,818512
AFG,2002,30,Female,605491
AFG,2002,30,Male,655145
AFG,2002,35,Female,496335
AFG,2002,35,Male,533287
AFG,2002,40,Female,407817
AFG,2002,40,Male,435871
AFG,2002,45,Female,333052
AFG,2002,45,Male,354791
AFG,2002,50,Female,290195
AFG,2002,50,Male,281014
AFG,2002,55,Female,224473
AFG,2002,55,Male,217820
AFG,2002,60,Female,158262
AFG,2002,60,Male,159415
AFG,2002,65,Female,113412
AFG,2002,65,Male,107362
AFG,2002,70,Female,75525
AFG,2002,70,Male,71123
AFG,2002,75,Female,45625
AFG,2002,75,Male,41837
AFG,2002,80,Female,21495
AFG,2002,80,Male,17976
AFG,2002,85,Female,8776
AFG,2002,85,Male,6701
AFG,2003,0,Female,2263921
AFG,2003,0,Male,2383159
AFG,2003,5,Female,1836417
AFG,2003,5,Male,1926417
AFG,2003,10,Female,1478883
AFG,2003,10,Male,1575992
AFG,2003,15,Female,1223433
AFG,2003,15,Male,1334597
AFG,2003,20,Female,986602
AFG,2003,20,Male,1098119
AFG,2003,25,Female,778004
AFG,2003,25,Male,872740
AFG,2003,30,Female,632340
AFG,2003,30,Male,691674
AFG,2003,35,Female,518358
AFG,2003,35,Male,560168
AFG,2003,40,Female,424002
AFG,2003,40,Male,455611
AFG,2003,45,Female,347382
AFG,2003,45,Male,370668
AFG,2003,50,Female,294595
AFG,2003,50,Male,295060
AFG,2003,55,Female,241063
AFG,2003,55,Male,227321
AFG,2003,60,Female,165087
AFG,2003,60,Male,168093
AFG,2003,65,Female,119057
AFG,2003,65,Male,113131
AFG,2003,70,Female,78238
AFG,2003,70,Male,72600
AFG,2003,75,Female,46917
AFG,2003,75,Male,43279
AFG,2003,80,Female,22647
AFG,2003,80,Male,18945
AFG,2003,85,Female,9291
AFG,2003,85,Male,7060
AFG,2004,0,Female,2328328
AFG,2004,0,Male,2461025
AFG,2004,5,Female,1921246
AFG,2004,5,Male,2017511
AFG,2004,10,Female,1542574
AFG,2004,10,Male,1636184
AFG,2004,15,Female,1283402
AFG,2004,15,Male,1393262
AFG,2004,20,Female,1048797
AFG,2004,20,Male,1161557
AFG,2004,25,Female,820393
AFG,2004,25,Male,928212
AFG,2004,30,Female,660084
AFG,2004,30,Male,729969
AFG,2004,35,Female,540340
AFG,2004,35,Male,587500
AFG,2004,40,Female,440294
AFG,2004,40,Male,475355
AFG,2004,45,Female,361661
AFG,2004,45,Male,385925
AFG,2004,50,Female,299534
AFG,2004,50,Male,308830
AFG,2004,55,Female,255589
AFG,2004,55,Male,237131
AFG,2004,60,Female,173383
AFG,2004,60,Male,176383
AFG,2004,65,Female,124894
AFG,2004,65,Male,119320
AFG,2004,70,Female,81372
AFG,2004,70,Male,74650
AFG,2004,75,Female,48195
AFG,2004,75,Male,44279
AFG,2004,80,Female,23414
AFG,2004,80,Male,19535
AFG,2004,85,Female,9463
AFG,2004,85,Male,7098
AFG,2005,0,Female,2380993
AFG,2005,0,Male,2517197
AFG,2005,5,Female,1992388
AFG,2005,5,Male,2092867
AFG,2005,10,Female,1602704
AFG,2005,10,Male,1691895
AFG,2005,15,Female,1336000
AFG,2005,15,Male,1440321
AFG,2005,20,Female,1106633
AFG,2005,20,Male,1216718
AFG,2005,25,Female,864815
AFG,2005,25,Male,980794
AFG,2005,30,Female,687743
AFG,2005,30,Male,768150
AFG,2005,35,Female,560714
AFG,2005,35,Male,613430
AFG,2005,40,Female,455796
AFG,2005,40,Male,493703
AFG,2005,45,Female,374261
AFG,2005,45,Male,399524
AFG,2005,50,Female,305735
AFG,2005,50,Male,320975
AFG,2005,55,Female,265889
AFG,2005,55,Male,246625
AFG,2005,60,Female,183252
AFG,2005,60,Male,183706
AFG,2005,65,Female,130438
AFG,2005,65,Male,125334
AFG,2005,70,Female,84796
AFG,2005,70,Male,77260
AFG,2005,75,Female,49481
AFG,2005,75,Male,44801
AFG,2005,80,Female,23777
AFG,2005,80,Male,19709
AFG,2005,85,Female,9175
AFG,2005,85,Male,6675
AFG,2006,0,Female,2440813
AFG,2006,0,Male,2581619
AFG,2006,5,Female,2072956
AFG,2006,5,Male,2178473
AFG,2006,10,Female,1659949
AFG,2006,10,Male,1751330
AFG,2006,15,Female,1358315
AFG,2006,15,Male,1459325
AFG,2006,20,Female,1135463
AFG,2006,20,Male,1235327
AFG,2006,25,Female,901455
AFG,2006,25,Male,1009685
AFG,2006,30,Female,713959
AFG,2006,30,Male,795615
AFG,2006,35,Female,580422
AFG,2006,35,Male,633720
AFG,2006,40,Female,471632
AFG,2006,40,Male,509647
AFG,2006,45,Female,385832
AFG,2006,45,Male,410355
AFG,2006,50,Female,312622
AFG,2006,50,Male,329635
AFG,2006,55,Female,272132
AFG,2006,55,Male,254594
AFG,2006,60,Female,193767
AFG,2006,60,Male,189203
AFG,2006,65,Female,134722
AFG,2006,65,Male,130060
AFG,2006,70,Female,88195
AFG,2006,70,Male,80301
AFG,2006,75,Female,51329
AFG,2006,75,Male,46136
AFG,2006,80,Female,25073
AFG,2006,80,Male,21112
AFG,2006,85,Female,10526
AFG,2006,85,Male,7759
AFG,2007,0,Female,2488674
AFG,2007,0,Male,2624020
AFG,2007,5,Female,2141586
AFG,2007,5,Male,2248972
AFG,2007,10,Female,1723907
AFG,2007,10,Male,1815314
AFG,2007,15,Female,1378912
AFG,2007,15,Male,1475761
AFG,2007,20,Female,1152781
AFG,2007,20,Male,1244236
AFG,2007,25,Female,934918
AFG,2007,25,Male,1029924
AFG,2007,30,Female,738475
AFG,2007,30,Male,819387
AFG,2007,35,Female,598190
AFG,2007,35,Male,650614
AFG,2007,40,Female,486754
AFG,2007,40,Male,523667
AFG,2007,45,Female,396293
AFG,2007,45,Male,420106
AFG,2007,50,Female,320435
AFG,2007,50,Male,336377
AFG,2007,55,Female,274376
AFG,2007,55,Male,261627
AFG,2007,60,Female,205909
AFG,2007,60,Male,193968
AFG,2007,65,Female,138195
AFG,2007,65,Male,134126
AFG,2007,70,Female,91626
AFG,2007,70,Male,83177
AFG,2007,75,Female,52986
AFG,2007,75,Male,46971
AFG,2007,80,Female,25973
AFG,2007,80,Male,22142
AFG,2007,85,Female,11582
AFG,2007,85,Male,8581
AFG,2008,0,Female,2528095
AFG,2008,0,Male,2652044
AFG,2008,5,Female,2199597
AFG,2008,5,Male,2307863
AFG,2008,10,Female,1795920
AFG,2008,10,Male,1886163
AFG,2008,15,Female,1405324
AFG,2008,15,Male,1498643
AFG,2008,20,Female,1162361
AFG,2008,20,Male,1249178
AFG,2008,25,Female,964884
AFG,2008,25,Male,1043956
AFG,2008,30,Female,763013
AFG,2008,30,Male,841128
AFG,2008,35,Female,615549
AFG,2008,35,Male,666369
AFG,2008,40,Female,501921
AFG,2008,40,Male,537073
AFG,2008,45,Female,406750
AFG,2008,45,Male,430226
AFG,2008,50,Female,329291
AFG,2008,50,Male,342522
AFG,2008,55,Female,274765
AFG,2008,55,Male,268191
AFG,2008,60,Female,218499
AFG,2008,60,Male,198877
AFG,2008,65,Female,141923
AFG,2008,65,Male,137918
AFG,2008,70,Female,95158
AFG,2008,70,Male,86027
AFG,2008,75,Female,54686
AFG,2008,75,Male,47721
AFG,2008,80,Female,26602
AFG,2008,80,Male,22778
AFG,2008,85,Female,12218
AFG,2008,85,Male,9048
AFG,2009,0,Female,2563755
AFG,2009,0,Male,2678514
AFG,2009,5,Female,2253483
AFG,2009,5,Male,2363917
AFG,2009,10,Female,1875309
AFG,2009,10,Male,1965647
AFG,2009,15,Female,1445507
AFG,2009,15,Male,1538023
AFG,2009,20,Female,1171910
AFG,2009,20,Male,1258364
AFG,2009,25,Female,991143
AFG,2009,25,Male,1055997
AFG,2009,30,Female,789722
AFG,2009,30,Male,862908
AFG,2009,35,Female,634868
AFG,2009,35,Male,684242
AFG,2009,40,Female,518267
AFG,2009,40,Male,551916
AFG,2009,45,Female,418766
AFG,2009,45,Male,442357
AFG,2009,50,Female,339218
AFG,2009,50,Male,349985
AFG,2009,55,Female,276491
AFG,2009,55,Male,275154
AFG,2009,60,Female,229791
AFG,2009,60,Male,204858
AFG,2009,65,Female,147483
AFG,2009,65,Male,142083
AFG,2009,70,Female,98876
AFG,2009,70,Male,89102
AFG,2009,75,Female,56682
AFG,2009,75,Male,48817
AFG,2009,80,Female,27138
AFG,2009,80,Male,23081
AFG,2009,85,Female,12342
AFG,2009,85,Male,9090
AFG,2010,0,Female,2600535
AFG,2010,0,Male,2715070
AFG,2010,5,Female,2309286
AFG,2010,5,Male,2423963
AFG,2010,10,Female,1959068
AFG,2010,10,Male,2053118
AFG,2010,15,Female,1503682
AFG,2010,15,Male,1599236
AFG,2010,20,Female,1188683
AFG,2010,20,Male,1278489
AFG,2010,25,Female,1013511
AFG,2010,25,Male,1069443
AFG,2010,30,Female,819307
AFG,2010,30,Male,885605
AFG,2010,35,Female,657692
AFG,2010,35,Male,706162
AFG,2010,40,Female,536591
AFG,2010,40,Male,569595
AFG,2010,45,Female,433278
AFG,2010,45,Male,457356
AFG,2010,50,Female,350364
AFG,2010,50,Male,360128
AFG,2010,55,Female,281454
AFG,2010,55,Male,283239
AFG,2010,60,Female,238883
AFG,2010,60,Male,212296
AFG,2010,65,Female,155759
AFG,2010,65,Male,147198
AFG,2010,70,Female,102913
AFG,2010,70,Male,92624
AFG,2010,75,Female,59129
AFG,2010,75,Male,50444
AFG,2010,80,Female,27743
AFG,2010,80,Male,23184
AFG,2010,85,Female,11877
AFG,2010,85,Male,8606
AFG,2011,0,Female,2628898
AFG,2011,0,Male,2736914
AFG,2011,5,Female,2359818
AFG,2011,5,Male,2474066
AFG,2011,10,Female,2035916
AFG,2011,10,Male,2130885
AFG,2011,15,Female,1591572
AFG,2011,15,Male,1688882
AFG,2011,20,Female,1238254
AFG,2011,20,Male,1338722
AFG,2011,25,Female,1043428
AFG,2011,25,Male,1109082
AFG,2011,30,Female,852102
AFG,2011,30,Male,920378
AFG,2011,35,Female,681967
AFG,2011,35,Male,735615
AFG,2011,40,Female,554566
AFG,2011,40,Male,589764
AFG,2011,45,Female,448068
AFG,2011,45,Male,473896
AFG,2011,50,Female,361358
AFG,2011,50,Male,372629
AFG,2011,55,Female,287509
AFG,2011,55,Male,291165
AFG,2011,60,Female,243870
AFG,2011,60,Male,218951
AFG,2011,65,Female,164925
AFG,2011,65,Male,152225
AFG,2011,70,Female,105885
AFG,2011,70,Male,95795
AFG,2011,75,Female,61478
AFG,2011,75,Male,52354
AFG,2011,80,Female,29197
AFG,2011,80,Male,24243
AFG,2011,85,Female,13239
AFG,2011,85,Male,9795
AFG,2012,0,Female,2648367
AFG,2012,0,Male,2760047
AFG,2012,5,Female,2415162
AFG,2012,5,Male,2530385
AFG,2012,10,Female,2109912
AFG,2012,10,Male,2209964
AFG,2012,15,Female,1691465
AFG,2012,15,Male,1790617
AFG,2012,20,Female,1300937
AFG,2012,20,Male,1411120
AFG,2012,25,Female,1075817
AFG,2012,25,Male,1157302
AFG,2012,30,Female,890401
AFG,2012,30,Male,960869
AFG,2012,35,Female,710389
AFG,2012,35,Male,771719
AFG,2012,40,Female,575024
AFG,2012,40,Male,614019
AFG,2012,45,Female,465556
AFG,2012,45,Male,493381
AFG,2012,50,Female,374236
AFG,2012,50,Male,388581
AFG,2012,55,Female,296886
AFG,2012,55,Male,301267
AFG,2012,60,Female,247256
AFG,2012,60,Male,227065
AFG,2012,65,Female,176967
AFG,2012,65,Male,158543
AFG,2012,70,Female,109097
AFG,2012,70,Male,99649
AFG,2012,75,Female,64190
AFG,2012,75,Male,54506
AFG,2012,80,Female,30533
AFG,2012,80,Male,25086
AFG,2012,85,Female,14309
AFG,2012,85,Male,10754
AFG,2013,0,Female,2661325
AFG,2013,0,Male,2783248
AFG,2013,5,Female,2471254
AFG,2013,5,Male,2587058
AFG,2013,10,Female,2179119
AFG,2013,10,Male,2286793
AFG,2013,15,Female,1795834
AFG,2013,15,Male,1896475
AFG,2013,20,Female,1375405
AFG,2013,20,Male,1493246
AFG,2013,25,Female,1112099
AFG,2013,25,Male,1213090
AFG,2013,30,Female,931525
AFG,2013,30,Male,1005398
AFG,2013,35,Female,741989
AFG,2013,35,Male,812290
AFG,2013,40,Female,597506
AFG,2013,40,Male,641714
AFG,2013,45,Female,484841
AFG,2013,45,Male,514801
AFG,2013,50,Female,388556
AFG,2013,50,Male,406916
AFG,2013,55,Female,308589
AFG,2013,55,Male,313271
AFG,2013,60,Female,250102
AFG,2013,60,Male,236145
AFG,2013,65,Female,190148
AFG,2013,65,Male,165828
AFG,2013,70,Female,113179
AFG,2013,70,Male,104117
AFG,2013,75,Female,67146
AFG,2013,75,Male,56814
AFG,2013,80,Female,31743
AFG,2013,80,Male,25753
AFG,2013,85,Female,14954
AFG,2013,85,Male,11321
AFG,2014,0,Female,2671583
AFG,2014,0,Male,2803677
AFG,2014,5,Female,2520840
AFG,2014,5,Male,2635812
AFG,2014,10,Female,2242185
AFG,2014,10,Male,2356524
AFG,2014,15,Female,1894380
AFG,2014,15,Male,1995824
AFG,2014,20,Female,1458199
AFG,2014,20,Male,1580881
AFG,2014,25,Female,1154509
AFG,2014,25,Male,1274348
AFG,2014,30,Female,971495
AFG,2014,30,Male,1051656
AFG,2014,35,Female,775240
AFG,2014,35,Male,853941
AFG,2014,40,Female,621345
AFG,2014,40,Male,671734
AFG,2014,45,Female,504576
AFG,2014,45,Male,536914
AFG,2014,50,Female,403707
AFG,2014,50,Male,425990
AFG,2014,55,Female,321059
AFG,2014,55,Male,326613
AFG,2014,60,Female,254048
AFG,2014,60,Male,245615
AFG,2014,65,Female,201878
AFG,2014,65,Male,173507
AFG,2014,70,Female,118954
AFG,2014,70,Male,109015
AFG,2014,75,Female,70123
AFG,2014,75,Male,59173
AFG,2014,80,Female,32839
AFG,2014,80,Male,26279
AFG,2014,85,Female,15041
AFG,2014,85,Male,11300
AFG,2015,0,Female,2681852
AFG,2015,0,Male,2819062
AFG,2015,5,Female,2557559
AFG,2015,5,Male,2670894
AFG,2015,10,Female,2298757
AFG,2015,10,Male,2415683
AFG,2015,15,Female,1980573
AFG,2015,15,Male,2081987
AFG,2015,20,Female,1545400
AFG,2015,20,Male,1669637
AFG,2015,25,Female,1204591
AFG,2015,25,Male,1339110
AFG,2015,30,Female,1008262
AFG,2015,30,Male,1098387
AFG,2015,35,Female,809018
AFG,2015,35,Male,894433
AFG,2015,40,Female,646068
AFG,2015,40,Male,703152
AFG,2015,45,Female,523926
AFG,2015,45,Male,559046
AFG,2015,50,Female,419245
AFG,2015,50,Male,444606
AFG,2015,55,Female,333335
AFG,2015,55,Male,340771
AFG,2015,60,Female,260027
AFG,2015,60,Male,255226
AFG,2015,65,Female,210711
AFG,2015,65,Male,181151
AFG,2015,70,Female,126728
AFG,2015,70,Male,114205
AFG,2015,75,Female,73066
AFG,2015,75,Male,61583
AFG,2015,80,Female,33876
AFG,2015,80,Male,26700
AFG,2015,85,Female,14443
AFG,2015,85,Male,10533
AFG,2016,0,Female,2690807
AFG,2016,0,Male,2837944
AFG,2016,5,Female,2596435
AFG,2016,5,Male,2712709
AFG,2016,10,Female,2352874
AFG,2016,10,Male,2474026
AFG,2016,15,Female,2045061
AFG,2016,15,Male,2150687
AFG,2016,20,Female,1622768
AFG,2016,20,Male,1741450
AFG,2016,25,Female,1256879
AFG,2016,25,Male,1392424
AFG,2016,30,Female,1043138
AFG,2016,30,Male,1138998
AFG,2016,35,Female,845097
AFG,2016,35,Male,931434
AFG,2016,40,Female,672831
AFG,2016,40,Male,735071
AFG,2016,45,Female,543530
AFG,2016,45,Male,580634
AFG,2016,50,Female,435083
AFG,2016,50,Male,461118
AFG,2016,55,Female,345219
AFG,2016,55,Male,354140
AFG,2016,60,Female,266923
AFG,2016,60,Male,264157
AFG,2016,65,Female,215851
AFG,2016,65,Male,187731
AFG,2016,70,Female,135313
AFG,2016,70,Male,119285
AFG,2016,75,Female,75983
AFG,2016,75,Male,64797
AFG,2016,80,Female,36070
AFG,2016,80,Male,28532
AFG,2016,85,Female,16172
AFG,2016,85,Male,11857
AFG,2017,0,Female,2706583
AFG,2017,0,Male,2856404
AFG,2017,5,Female,2620874
AFG,2017,5,Male,2740417
AFG,2017,10,Female,2404847
AFG,2017,10,Male,2525910
AFG,2017,15,Female,2099324
AFG,2017,15,Male,2211187
AFG,2017,20,Female,1699734
AFG,2017,20,Male,1812626
AFG,2017,25,Female,1312227
AFG,2017,25,Male,1444378
AFG,2017,30,Female,1073897
AFG,2017,30,Male,1177607
AFG,2017,35,Female,881936
AFG,2017,35,Male,966195
AFG,2017,40,Female,700150
AFG,2017,40,Male,767766
AFG,2017,45,Female,562803
AFG,2017,45,Male,602314
AFG,2017,50,Female,451222
AFG,2017,50,Male,477056
AFG,2017,55,Female,357046
AFG,2017,55,Male,367834
AFG,2017,60,Female,275513
AFG,2017,60,Male,273206
AFG,2017,65,Female,218539
AFG,2017,65,Male,194114
AFG,2017,70,Female,145456
AFG,2017,70,Male,124324
AFG,2017,75,Female,78438
AFG,2017,75,Male,67786
AFG,2017,80,Female,38046
AFG,2017,80,Male,30036
AFG,2017,85,Female,17491
AFG,2017,85,Male,12825
AFG,2018,0,Female,2727039
AFG,2018,0,Male,2874404
AFG,2018,5,Female,2632175
AFG,2018,5,Male,2756055
AFG,2018,10,Female,2455095
AFG,2018,10,Male,2572663
AFG,2018,15,Female,2148045
AFG,2018,15,Male,2266673
AFG,2018,20,Female,1774099
AFG,2018,20,Male,1882517
AFG,2018,25,Female,1370844
AFG,2018,25,Male,1496448
AFG,2018,30,Female,1103876
AFG,2018,30,Male,1215792
AFG,2018,35,Female,918728
AFG,2018,35,Male,999627
AFG,2018,40,Female,728470
AFG,2018,40,Male,800960
AFG,2018,45,Female,582527
AFG,2018,45,Male,624936
AFG,2018,50,Female,467799
AFG,2018,50,Male,493078
AFG,2018,55,Female,369167
AFG,2018,55,Male,381858
AFG,2018,60,Female,285462
AFG,2018,60,Male,282755
AFG,2018,65,Female,220380
AFG,2018,65,Male,200617
AFG,2018,70,Female,155936
AFG,2018,70,Male,129425
AFG,2018,75,Female,81207
AFG,2018,75,Male,70686
AFG,2018,80,Female,39757
AFG,2018,80,Male,31231
AFG,2018,85,Female,18273
AFG,2018,85,Male,13318
AFG,2019,0,Female,2747452
AFG,2019,0,Male,2891330
AFG,2019,5,Female,2636519
AFG,2019,5,Male,2765393
AFG,2019,10,Female,2501560
AFG,2019,10,Male,2614937
AFG,2019,15,Female,2197654
AFG,2019,15,Male,2321520
AFG,2019,20,Female,1843985
AFG,2019,20,Male,1950650
AFG,2019,25,Female,1433056
AFG,2019,25,Male,1551332
AFG,2019,30,Female,1138037
AFG,2019,30,Male,1255855
AFG,2019,35,Female,954327
AFG,2019,35,Male,1033269
AFG,2019,40,Female,758533
AFG,2019,40,Male,834402
AFG,2019,45,Female,603870
AFG,2019,45,Male,649695
AFG,2019,50,Female,485051
AFG,2019,50,Male,510215
AFG,2019,55,Female,382185
AFG,2019,55,Male,396317
AFG,2019,60,Female,296241
AFG,2019,60,Male,293294
AFG,2019,65,Female,223557
AFG,2019,65,Male,207687
AFG,2019,70,Female,165093
AFG,2019,70,Male,134696
AFG,2019,75,Female,85284
AFG,2019,75,Male,73674
AFG,2019,80,Female,41195
AFG,2019,80,Male,32215
AFG,2019,85,Female,18431
AFG,2019,85,Male,13246
AFG,2020,0,Female,2765103
AFG,2020,0,Male,2907406
AFG,2020,5,Female,2641593
AFG,2020,5,Male,2774630
AFG,2020,10,Female,2540450
AFG,2020,10,Male,2651664
AFG,2020,15,Female,2251504
AFG,2020,15,Male,2377941
AFG,2020,20,Female,1909206
AFG,2020,20,Male,2017279
AFG,2020,25,Female,1498590
AFG,2020,25,Male,1610796
AFG,2020,30,Female,1179138
AFG,2020,30,Male,1299121
AFG,2020,35,Female,988220
AFG,2020,35,Male,1068167
AFG,2020,40,Female,790703
AFG,2020,40,Male,868020
AFG,2020,45,Female,627510
AFG,2020,45,Male,677226
AFG,2020,50,Female,503171
AFG,2020,50,Male,529188
AFG,2020,55,Female,396460
AFG,2020,55,Male,411379
AFG,2020,60,Female,307557
AFG,2020,60,Male,305081
AFG,2020,65,Female,229221
AFG,2020,65,Male,215637
AFG,2020,70,Female,172197
AFG,2020,70,Male,140254
AFG,2020,75,Female,91107
AFG,2020,75,Male,76897
AFG,2020,80,Female,42490
AFG,2020,80,Male,33115
AFG,2020,85,Female,17856
AFG,2020,85,Male,12464
AFG,2021,0,Female,2792395
AFG,2021,0,Male,2932252
AFG,2021,5,Female,2653944
AFG,2021,5,Male,2790513
AFG,2021,10,Female,2564119
AFG,2021,10,Male,2678248
AFG,2021,15,Female,2301586
AFG,2021,15,Male,2428348
AFG,2021,20,Female,1972986
AFG,2021,20,Male,2082113
AFG,2021,25,Female,1570407
AFG,2021,25,Male,1677507
AFG,2021,30,Female,1226628
AFG,2021,30,Male,1346716
AFG,2021,35,Female,1020048
AFG,2021,35,Male,1104444
AFG,2021,40,Female,824061
AFG,2021,40,Male,901264
AFG,2021,45,Female,651961
AFG,2021,45,Male,705742
AFG,2021,50,Female,520915
AFG,2021,50,Male,548296
AFG,2021,55,Female,410497
AFG,2021,55,Male,425454
AFG,2021,60,Female,317618
AFG,2021,60,Male,315982
AFG,2021,65,Female,234918
AFG,2021,65,Male,222747
AFG,2021,70,Female,175820
AFG,2021,70,Male,145166
AFG,2021,75,Female,97768
AFG,2021,75,Male,80628
AFG,2021,80,Female,44737
AFG,2021,80,Male,35464
AFG,2021,85,Female,20039
AFG,2021,85,Male,14097
AGO,2000,0,Female,1546980
AGO,2000,0,Male,1535574
AGO,2000,5,Female,1264836
AGO,2000,5,Male,1250103
AGO,2000,10,Female,1077285
AGO,2000,10,Male,1063857
AGO,2000,15,Female,893953
AGO,2000,15,Male,882239
AGO,2000,20,Female,731544
AGO,2000,20,Male,719025
AGO,2000,25,Female,610302
AGO,2000,25,Male,595485
AGO,2000,30,Female,456065
AGO,2000,30,Male,448660
AGO,2000,35,Female,398356
AGO,2000,35,Male,427591
AGO,2000,40,Female,309788
AGO,2000,40,Male,326785
AGO,2000,45,Female,216368
AGO,2000,45,Male,241855
AGO,2000,50,Female,194958
AGO,2000,50,Male,202176
AGO,2000,55,Female,159895
AGO,2000,55,Male,153665
AGO,2000,60,Female,147955
AGO,2000,60,Male,119321
AGO,2000,65,Female,107336
AGO,2000,65,Male,88974
AGO,2000,70,Female,70052
AGO,2000,70,Male,55929
AGO,2000,75,Female,33054
AGO,2000,75,Male,27579
AGO,2000,80,Female,15915
AGO,2000,80,Male,11931
AGO,2000,85,Female,5816
AGO,2000,85,Male,4270
AGO,2001,0,Female,1601803
AGO,2001,0,Male,1591006
AGO,2001,5,Female,1305606
AGO,2001,5,Male,1290676
AGO,2001,10,Female,1110301
AGO,2001,10,Male,1096285
AGO,2001,15,Female,926367
AGO,2001,15,Male,913579
AGO,2001,20,Female,756586
AGO,2001,20,Male,743283
AGO,2001,25,Female,633791
AGO,2001,25,Male,618237
AGO,2001,30,Female,477560
AGO,2001,30,Male,465030
AGO,2001,35,Female,407052
AGO,2001,35,Male,430764
AGO,2001,40,Female,327077
AGO,2001,40,Male,344316
AGO,2001,45,Female,227709
AGO,2001,45,Male,251263
AGO,2001,50,Female,196392
AGO,2001,50,Male,205870
AGO,2001,55,Female,162224
AGO,2001,55,Male,158354
AGO,2001,60,Female,147459
AGO,2001,60,Male,120857
AGO,2001,65,Female,110756
AGO,2001,65,Male,90140
AGO,2001,70,Female,72480
AGO,2001,70,Male,57795
AGO,2001,75,Female,35566
AGO,2001,75,Male,29126
AGO,2001,80,Female,16353
AGO,2001,80,Male,12514
AGO,2001,85,Female,6713
AGO,2001,85,Male,4863
AGO,2002,0,Female,1656113
AGO,2002,0,Male,1646166
AGO,2002,5,Female,1347790
AGO,2002,5,Male,1332680
AGO,2002,10,Female,1144081
AGO,2002,10,Male,1129565
AGO,2002,15,Female,960812
AGO,2002,15,Male,947182
AGO,2002,20,Female,784703
AGO,2002,20,Male,770456
AGO,2002,25,Female,654146
AGO,2002,25,Male,637926
AGO,2002,30,Female,505798
AGO,2002,30,Male,490305
AGO,2002,35,Female,412930
AGO,2002,35,Male,427998
AGO,2002,40,Female,344181
AGO,2002,40,Male,363951
AGO,2002,45,Female,243409
AGO,2002,45,Male,262986
AGO,2002,50,Female,196262
AGO,2002,50,Male,208736
AGO,2002,55,Female,167144
AGO,2002,55,Male,164354
AGO,2002,60,Female,145582
AGO,2002,60,Male,122708
AGO,2002,65,Female,115044
AGO,2002,65,Male,91280
AGO,2002,70,Female,74417
AGO,2002,70,Male,59538
AGO,2002,75,Female,38443
AGO,2002,75,Male,30647
AGO,2002,80,Female,16387
AGO,2002,80,Male,12845
AGO,2002,85,Female,7513
AGO,2002,85,Male,5340
AGO,2003,0,Female,1712149
AGO,2003,0,Male,1703168
AGO,2003,5,Female,1390840
AGO,2003,5,Male,1375432
AGO,2003,10,Female,1179416
AGO,2003,10,Male,1164293
AGO,2003,15,Female,996831
AGO,2003,15,Male,982583
AGO,2003,20,Female,815600
AGO,2003,20,Male,800274
AGO,2003,25,Female,673252
AGO,2003,25,Male,656260
AGO,2003,30,Female,537977
